Date,Open,High,Low,Close,Volume,Adj Close
2015-12-03,1.20,1.40,1.20,1.34,334000,1.34
2015-12-04,1.345,1.345,1.25,1.30,82300,1.30
2015-12-07,1.35,1.35,1.28,1.30,32300,1.30
2015-12-08,1.29,1.29,1.14,1.14,126500,1.14
2015-12-09,1.14,1.18,1.125,1.155,127800,1.155
2015-12-10,1.155,1.155,1.135,1.14,82700,1.14
2015-12-11,1.14,1.15,1.13,1.13,65100,1.13
2015-12-14,1.13,1.13,1.13,1.13,8700,1.13
2015-12-15,1.13,1.13,1.12,1.12,12900,1.12
2015-12-16,1.12,1.15,1.12,1.15,43200,1.15
2015-12-17,1.12,1.17,1.12,1.17,68500,1.17
2015-12-18,1.15,1.20,1.15,1.20,20000,1.20
2015-12-21,1.20,1.20,1.20,1.20,38000,1.20
2015-12-22,1.18,1.20,1.18,1.20,21100,1.20
2015-12-23,1.20,1.21,1.20,1.20,25800,1.20
2015-12-24,1.20,1.20,1.20,1.20,6200,1.20
2015-12-25,1.20,1.20,1.20,1.20,000,1.20
2015-12-28,1.20,1.20,1.20,1.20,000,1.20
2015-12-29,1.20,1.20,1.20,1.20,000,1.20
2015-12-30,1.20,1.20,1.20,1.20,000,1.20
2015-12-31,1.20,1.20,1.20,1.20,000,1.20
2016-01-01,1.20,1.20,1.20,1.20,000,1.20
2016-01-04,1.20,1.20,1.20,1.20,000,1.20
2016-01-05,1.15,1.15,1.15,1.15,3000,1.15
2016-01-06,1.14,1.14,1.14,1.14,5000,1.14
2016-01-07,1.14,1.15,1.13,1.13,26200,1.13
2016-01-08,1.13,1.13,1.13,1.13,000,1.13
2016-01-11,1.13,1.13,1.13,1.13,000,1.13
2016-01-12,1.13,1.135,1.095,1.095,65200,1.095
2016-01-13,1.095,1.095,1.095,1.095,000,1.095
2016-01-14,1.01,1.01,1.00,1.00,9900,1.00
2016-01-15,1.10,1.10,1.10,1.10,33200,1.10
2016-01-18,1.05,1.05,1.00,1.00,33500,1.00
2016-01-19,1.00,1.00,1.00,1.00,500,1.00
2016-01-20,1.00,1.00,1.00,1.00,000,1.00
2016-01-21,1.00,1.00,1.00,1.00,000,1.00
2016-01-22,1.00,1.00,1.00,1.00,000,1.00
2016-01-25,1.00,1.00,1.00,1.00,000,1.00
2016-01-26,1.00,1.00,1.00,1.00,000,1.00
2016-01-27,1.05,1.10,1.05,1.10,10000,1.10
2016-01-28,1.10,1.10,1.10,1.10,000,1.10
2016-01-29,1.10,1.10,1.07,1.07,8200,1.07
2016-02-01,1.07,1.07,1.07,1.07,000,1.07
2016-02-02,1.10,1.10,1.07,1.07,25200,1.07
2016-02-03,1.07,1.10,1.07,1.10,21200,1.10
2016-02-04,1.10,1.10,1.10,1.10,27500,1.10
2016-02-05,1.06,1.06,1.06,1.06,21000,1.06
2016-02-08,1.06,1.06,1.06,1.06,000,1.06
2016-02-09,1.10,1.10,1.10,1.10,4500,1.10
2016-02-10,1.10,1.10,1.10,1.10,000,1.10
2016-02-11,1.10,1.10,1.10,1.10,000,1.10
2016-02-12,1.10,1.10,1.10,1.10,10000,1.10
2016-02-15,1.10,1.10,1.10,1.10,11600,1.10
2016-02-16,1.10,1.10,1.10,1.10,19500,1.10
2016-02-17,1.10,1.10,1.10,1.10,000,1.10
2016-02-18,1.10,1.10,1.10,1.10,000,1.10
2016-02-19,1.10,1.10,1.10,1.10,000,1.10
2016-02-22,1.10,1.15,1.10,1.15,21000,1.15
2016-02-23,1.15,1.20,1.15,1.16,133700,1.16
2016-02-24,1.17,1.17,1.15,1.15,9000,1.15
2016-02-25,1.15,1.15,1.11,1.11,25400,1.11
2016-02-26,1.14,1.14,1.12,1.12,68300,1.12
2016-02-29,1.14,1.18,1.12,1.18,105900,1.18
2016-03-01,1.18,1.19,1.17,1.18,28800,1.18
2016-03-02,1.19,1.20,1.185,1.20,107500,1.20
2016-03-03,1.25,1.26,1.22,1.26,83500,1.26
2016-03-04,1.26,1.32,1.26,1.32,9100,1.32
2016-03-07,1.28,1.35,1.28,1.35,42100,1.35
2016-03-08,1.35,1.35,1.32,1.34,53600,1.34
2016-03-09,1.32,1.32,1.28,1.28,25200,1.28
2016-03-10,1.36,1.40,1.35,1.35,86200,1.35
2016-03-11,1.35,1.36,1.35,1.36,43500,1.36
2016-03-14,1.36,1.39,1.35,1.35,19500,1.35
2016-03-15,1.35,1.35,1.35,1.35,000,1.35
2016-03-16,1.35,1.35,1.35,1.35,000,1.35
2016-03-17,1.38,1.40,1.35,1.35,42200,1.35
2016-03-18,1.35,1.35,1.35,1.35,000,1.35
2016-03-21,1.35,1.39,1.35,1.39,2300,1.39
2016-03-22,1.35,1.40,1.35,1.40,57000,1.40
2016-03-23,1.39,1.45,1.39,1.40,108300,1.40
2016-03-24,1.45,1.46,1.40,1.42,53300,1.42
2016-03-25,1.42,1.42,1.42,1.42,000,1.42
2016-03-28,1.42,1.42,1.42,1.42,000,1.42
2016-03-29,1.42,1.42,1.35,1.42,40700,1.42
2016-03-30,1.40,1.40,1.40,1.40,42100,1.40
2016-03-31,1.40,1.40,1.40,1.40,000,1.40
2016-04-01,1.40,1.415,1.40,1.415,3600,1.415
2016-04-04,1.415,1.415,1.415,1.415,000,1.415
2016-04-05,1.39,1.39,1.39,1.39,12900,1.39
2016-04-06,1.38,1.39,1.38,1.39,10400,1.39
2016-04-07,1.38,1.40,1.38,1.40,40200,1.40
2016-04-08,1.40,1.40,1.40,1.40,52500,1.40
2016-04-11,1.40,1.40,1.40,1.40,49900,1.40
2016-04-12,1.40,1.46,1.39,1.46,72900,1.46
2016-04-13,1.50,1.54,1.50,1.54,5800,1.54
2016-04-14,1.54,1.59,1.50,1.59,59400,1.59
2016-04-15,1.60,1.72,1.60,1.68,52900,1.68


2016-04-18,1.70,1.74,1.68,1.73,52100,1.73
2016-04-19,1.74,1.80,1.74,1.75,63200,1.75
2016-04-20,1.75,1.80,1.68,1.75,55600,1.75
2016-04-21,1.705,1.705,1.69,1.69,44200,1.69
2016-04-22,1.69,1.69,1.69,1.69,000,1.69


2016-04-25,1.69,1.69,1.69,1.69,000,1.69
2016-04-26,1.69,1.72,1.69,1.72,41900,1.72
